target_name,target_kind,band_index,outer_radius_m,bcc_spacing_m,nominal_inner_radius_m,band_overlap_fraction,minimum_separation_m
injection_borehole,injection_borehole,0,10.000000,3.000000,0.000000,0.100000,1.350000
injection_borehole,injection_borehole,1,18.000000,5.000000,9.000000,0.100000,2.250000
injection_borehole,injection_borehole,2,32.000000,8.000000,16.200000,0.100000,3.600000
injection_borehole,injection_borehole,3,55.000000,13.000000,28.800000,0.100000,5.850000
injection_borehole,injection_borehole,4,80.000000,21.000000,49.500000,0.100000,9.450000
AVN2,strainmeter_sensor,0,4.000000,1.500000,0.000000,0.100000,0.675000
AVN2,strainmeter_sensor,1,8.000000,3.000000,3.600000,0.100000,1.350000
AVN2,strainmeter_sensor,2,16.000000,6.000000,7.200000,0.100000,2.700000
AVN2,strainmeter_sensor,3,30.000000,10.000000,14.400000,0.100000,4.500000
AVN2,strainmeter_sensor,4,50.000000,17.000000,27.000000,0.100000,7.650000
AVN87,strainmeter_sensor,0,4.000000,1.500000,0.000000,0.100000,0.675000
AVN87,strainmeter_sensor,1,8.000000,3.000000,3.600000,0.100000,1.350000
AVN87,strainmeter_sensor,2,16.000000,6.000000,7.200000,0.100000,2.700000
AVN87,strainmeter_sensor,3,30.000000,10.000000,14.400000,0.100000,4.500000
AVN87,strainmeter_sensor,4,50.000000,17.000000,27.000000,0.100000,7.650000
AVN31,strainmeter_sensor,0,4.000000,1.500000,0.000000,0.100000,0.675000
AVN31,strainmeter_sensor,1,8.000000,3.000000,3.600000,0.100000,1.350000
AVN31,strainmeter_sensor,2,16.000000,6.000000,7.200000,0.100000,2.700000
AVN31,strainmeter_sensor,3,30.000000,10.000000,14.400000,0.100000,4.500000
AVN31,strainmeter_sensor,4,50.000000,17.000000,27.000000,0.100000,7.650000
