well_kind,radius_m,shell_index,shell_radius_m,radius_factor,azimuthal_points,target_tangential_spacing_m,common_vertical_step_m,role
injection,5.000000,0,0.000000,0.000000,1,0.750000,2.000000,axis
injection,5.000000,1,0.400000,0.080000,36,0.798000,2.000000,solid_well_interior_resolution
injection,5.000000,2,0.800000,0.160000,36,0.846000,2.000000,solid_well_interior_resolution
injection,5.000000,3,1.200000,0.240000,36,0.894000,2.000000,solid_well_interior_resolution
injection,5.000000,4,1.700000,0.340000,36,0.954000,2.000000,solid_well_interior_resolution
injection,5.000000,5,2.300000,0.460000,36,1.026000,2.000000,solid_well_interior_resolution
injection,5.000000,6,3.000000,0.600000,36,1.110000,2.000000,solid_well_interior_resolution
injection,5.000000,7,3.800000,0.760000,36,1.206000,2.000000,solid_well_interior_resolution
injection,5.000000,8,4.400000,0.880000,36,1.278000,2.000000,solid_well_interior_resolution
injection,5.000000,9,5.000000,1.000000,36,1.350000,2.000000,exact_material_tag_boundary
injection,5.000000,10,6.000000,1.200000,36,1.470000,2.000000,smooth_transition_halo
injection,5.000000,11,7.300000,1.460000,36,1.626000,2.000000,smooth_transition_halo
injection,5.000000,12,9.000000,1.800000,36,1.830000,2.000000,smooth_transition_halo
injection,5.000000,13,11.000000,2.200000,34,2.070000,2.000000,smooth_transition_halo
injection,5.000000,14,14.000000,2.800000,37,2.430000,2.000000,smooth_transition_halo
injection,5.000000,15,18.000000,3.600000,39,2.910000,2.000000,smooth_transition_halo
injection,5.000000,16,23.000000,4.600000,42,3.510000,2.000000,smooth_transition_halo
injection,5.000000,17,30.000000,6.000000,44,4.350000,2.000000,smooth_transition_halo
injection,5.000000,18,40.000000,8.000000,46,5.550000,2.000000,smooth_transition_halo
injection,5.000000,19,54.000000,10.800000,47,7.230000,2.000000,smooth_transition_halo
injection,5.000000,20,72.000000,14.400000,49,9.390000,2.000000,smooth_transition_halo
injection,5.000000,21,96.000000,19.200000,50,12.270000,2.000000,smooth_transition_halo
injection,5.000000,22,128.000000,25.600000,50,16.110000,2.000000,smooth_transition_halo
injection,5.000000,23,170.000000,34.000000,51,21.150000,2.000000,smooth_transition_halo
injection,5.000000,24,225.000000,45.000000,51,27.750000,2.000000,smooth_transition_halo
injection,5.000000,25,300.000000,60.000000,52,36.750000,2.000000,smooth_transition_halo
injection,5.000000,26,400.000000,80.000000,52,48.750000,2.000000,smooth_transition_halo
injection,5.000000,27,525.000000,105.000000,52,63.750000,2.000000,smooth_transition_halo
injection,5.000000,28,700.000000,140.000000,63,70.000000,2.000000,smooth_transition_halo
strainmeter,2.000000,0,0.000000,0.000000,1,0.450000,2.000000,axis
strainmeter,2.000000,1,0.180000,0.090000,24,0.478800,2.000000,solid_well_interior_resolution
strainmeter,2.000000,2,0.360000,0.180000,24,0.507600,2.000000,solid_well_interior_resolution
strainmeter,2.000000,3,0.550000,0.275000,24,0.538000,2.000000,solid_well_interior_resolution
strainmeter,2.000000,4,0.780000,0.390000,24,0.574800,2.000000,solid_well_interior_resolution
strainmeter,2.000000,5,1.050000,0.525000,24,0.618000,2.000000,solid_well_interior_resolution
strainmeter,2.000000,6,1.350000,0.675000,24,0.666000,2.000000,solid_well_interior_resolution
strainmeter,2.000000,7,1.650000,0.825000,24,0.714000,2.000000,solid_well_interior_resolution
strainmeter,2.000000,8,2.000000,1.000000,24,0.770000,2.000000,exact_material_tag_boundary
strainmeter,2.000000,9,2.500000,1.250000,24,0.850000,2.000000,smooth_transition_halo
strainmeter,2.000000,10,3.200000,1.600000,24,0.962000,2.000000,smooth_transition_halo
strainmeter,2.000000,11,4.200000,2.100000,24,1.122000,2.000000,smooth_transition_halo
strainmeter,2.000000,12,5.500000,2.750000,26,1.330000,2.000000,smooth_transition_halo
strainmeter,2.000000,13,7.500000,3.750000,29,1.650000,2.000000,smooth_transition_halo
strainmeter,2.000000,14,10.000000,5.000000,31,2.050000,2.000000,smooth_transition_halo
strainmeter,2.000000,15,13.500000,6.750000,33,2.610000,2.000000,smooth_transition_halo
strainmeter,2.000000,16,18.000000,9.000000,34,3.330000,2.000000,smooth_transition_halo
strainmeter,2.000000,17,24.000000,12.000000,36,4.290000,2.000000,smooth_transition_halo
strainmeter,2.000000,18,32.000000,16.000000,37,5.570000,2.000000,smooth_transition_halo
strainmeter,2.000000,19,43.000000,21.500000,37,7.330000,2.000000,smooth_transition_halo
strainmeter,2.000000,20,58.000000,29.000000,38,9.730000,2.000000,smooth_transition_halo
strainmeter,2.000000,21,78.000000,39.000000,38,12.930000,2.000000,smooth_transition_halo
strainmeter,2.000000,22,105.000000,52.500000,39,17.250000,2.000000,smooth_transition_halo
strainmeter,2.000000,23,140.000000,70.000000,39,22.850000,2.000000,smooth_transition_halo
strainmeter,2.000000,24,190.000000,95.000000,39,30.850000,2.000000,smooth_transition_halo
strainmeter,2.000000,25,255.000000,127.500000,39,41.250000,2.000000,smooth_transition_halo
strainmeter,2.000000,26,340.000000,170.000000,39,54.850000,2.000000,smooth_transition_halo
strainmeter,2.000000,27,455.000000,227.500000,44,65.000000,2.000000,smooth_transition_halo
strainmeter,2.000000,28,650.000000,325.000000,63,65.000000,2.000000,smooth_transition_halo
