node_id,x_m,y_m,z_m,local_length_m,local_width_m
31650,4836.1291342978,4733.2672885190,530.0000000000,-280.0000000000,-140.0000000000
31651,4837.8722491528,4753.1911824808,530.0000000000,-260.0000000000,-140.0000000000
31652,4839.6153640077,4773.1150764427,530.0000000000,-240.0000000000,-140.0000000000
31653,4841.3584788627,4793.0389704045,530.0000000000,-220.0000000000,-140.0000000000
31654,4843.1015937176,4812.9628643663,530.0000000000,-200.0000000000,-140.0000000000
31655,4844.8447085726,4832.8867583282,530.0000000000,-180.0000000000,-140.0000000000
31656,4846.5878234275,4852.8106522900,530.0000000000,-160.0000000000,-140.0000000000
31657,4848.3309382825,4872.7345462518,530.0000000000,-140.0000000000,-140.0000000000
31658,4850.0740531374,4892.6584402137,530.0000000000,-120.0000000000,-140.0000000000
31659,4851.8171679924,4912.5823341755,530.0000000000,-100.0000000000,-140.0000000000
31660,4853.5602828473,4932.5062281373,530.0000000000,-80.0000000000,-140.0000000000
31661,4855.3033977023,4952.4301220992,530.0000000000,-60.0000000000,-140.0000000000
31662,4857.0465125572,4972.3540160610,530.0000000000,-40.0000000000,-140.0000000000
31663,4858.7896274122,4992.2779100228,530.0000000000,-20.0000000000,-140.0000000000
31664,4860.5327422672,5012.2018039847,530.0000000000,0.0000000000,-140.0000000000
31665,4862.2758571221,5032.1256979465,530.0000000000,20.0000000000,-140.0000000000
31666,4864.0189719771,5052.0495919083,530.0000000000,40.0000000000,-140.0000000000
31667,4865.7620868320,5071.9734858702,530.0000000000,60.0000000000,-140.0000000000
31668,4867.5052016870,5091.8973798320,530.0000000000,80.0000000000,-140.0000000000
31669,4869.2483165419,5111.8212737938,530.0000000000,100.0000000000,-140.0000000000
31670,4870.9914313969,5131.7451677557,530.0000000000,120.0000000000,-140.0000000000
31671,4872.7345462518,5151.6690617175,530.0000000000,140.0000000000,-140.0000000000
31672,4874.4776611068,5171.5929556794,530.0000000000,160.0000000000,-140.0000000000
31673,4876.2207759617,5191.5168496412,530.0000000000,180.0000000000,-140.0000000000
31674,4877.9638908167,5211.4407436030,530.0000000000,200.0000000000,-140.0000000000
31675,4879.7070056716,5231.3646375649,530.0000000000,220.0000000000,-140.0000000000
31676,4881.4501205266,5251.2885315267,530.0000000000,240.0000000000,-140.0000000000
31677,4883.1932353815,5271.2124254885,530.0000000000,260.0000000000,-140.0000000000
31678,4884.9363502365,5291.1363194504,530.0000000000,280.0000000000,-140.0000000000
31707,4856.0530282596,4731.5241736640,530.0000000000,-280.0000000000,-120.0000000000
31708,4857.7961431146,4751.4480676259,530.0000000000,-260.0000000000,-120.0000000000
31709,4859.5392579696,4771.3719615877,530.0000000000,-240.0000000000,-120.0000000000
31710,4861.2823728245,4791.2958555495,530.0000000000,-220.0000000000,-120.0000000000
31711,4863.0254876795,4811.2197495114,530.0000000000,-200.0000000000,-120.0000000000
31712,4864.7686025344,4831.1436434732,530.0000000000,-180.0000000000,-120.0000000000
31713,4866.5117173894,4851.0675374350,530.0000000000,-160.0000000000,-120.0000000000
31714,4868.2548322443,4870.9914313969,530.0000000000,-140.0000000000,-120.0000000000
31715,4869.9979470993,4890.9153253587,530.0000000000,-120.0000000000,-120.0000000000
31716,4871.7410619542,4910.8392193205,530.0000000000,-100.0000000000,-120.0000000000
31717,4873.4841768092,4930.7631132824,530.0000000000,-80.0000000000,-120.0000000000
31718,4875.2272916641,4950.6870072442,530.0000000000,-60.0000000000,-120.0000000000
31719,4876.9704065191,4970.6109012060,530.0000000000,-40.0000000000,-120.0000000000
31720,4878.7135213740,4990.5347951679,530.0000000000,-20.0000000000,-120.0000000000
31721,4880.4566362290,5010.4586891297,530.0000000000,-0.0000000000,-120.0000000000
31722,4882.1997510839,5030.3825830916,530.0000000000,20.0000000000,-120.0000000000
31723,4883.9428659389,5050.3064770534,530.0000000000,40.0000000000,-120.0000000000
31724,4885.6859807938,5070.2303710152,530.0000000000,60.0000000000,-120.0000000000
31725,4887.4290956488,5090.1542649771,530.0000000000,80.0000000000,-120.0000000000
31726,4889.1722105038,5110.0781589389,530.0000000000,100.0000000000,-120.0000000000
31727,4890.9153253587,5130.0020529007,530.0000000000,120.0000000000,-120.0000000000
31728,4892.6584402137,5149.9259468626,530.0000000000,140.0000000000,-120.0000000000
31729,4894.4015550686,5169.8498408244,530.0000000000,160.0000000000,-120.0000000000
31730,4896.1446699236,5189.7737347862,530.0000000000,180.0000000000,-120.0000000000
31731,4897.8877847785,5209.6976287481,530.0000000000,200.0000000000,-120.0000000000
31732,4899.6308996335,5229.6215227099,530.0000000000,220.0000000000,-120.0000000000
31733,4901.3740144884,5249.5454166717,530.0000000000,240.0000000000,-120.0000000000
31734,4903.1171293434,5269.4693106336,530.0000000000,260.0000000000,-120.0000000000
31735,4904.8602441983,5289.3932045954,530.0000000000,280.0000000000,-120.0000000000
31764,4875.9769222215,4729.7810588091,530.0000000000,-280.0000000000,-100.0000000000
31765,4877.7200370764,4749.7049527709,530.0000000000,-260.0000000000,-100.0000000000
31766,4879.4631519314,4769.6288467327,530.0000000000,-240.0000000000,-100.0000000000
31767,4881.2062667863,4789.5527406946,530.0000000000,-220.0000000000,-100.0000000000
31768,4882.9493816413,4809.4766346564,530.0000000000,-200.0000000000,-100.0000000000
31769,4884.6924964962,4829.4005286183,530.0000000000,-180.0000000000,-100.0000000001
31770,4886.4356113512,4849.3244225801,530.0000000000,-160.0000000000,-100.0000000000
31771,4888.1787262062,4869.2483165419,530.0000000000,-140.0000000000,-100.0000000000
31772,4889.9218410611,4889.1722105038,530.0000000000,-120.0000000000,-100.0000000000
31773,4891.6649559161,4909.0961044656,530.0000000000,-100.0000000000,-100.0000000000
31774,4893.4080707710,4929.0199984274,530.0000000000,-80.0000000000,-100.0000000000
31775,4895.1511856260,4948.9438923893,530.0000000000,-60.0000000000,-100.0000000000
31776,4896.8943004809,4968.8677863511,530.0000000000,-40.0000000000,-100.0000000000
31777,4898.6374153359,4988.7916803129,530.0000000000,-20.0000000000,-100.0000000000
31778,4900.3805301908,5008.7155742748,530.0000000000,0.0000000000,-100.0000000000
31779,4902.1236450458,5028.6394682366,530.0000000000,20.0000000000,-100.0000000000
31780,4903.8667599007,5048.5633621984,530.0000000000,40.0000000000,-100.0000000000
31781,4905.6098747557,5068.4872561603,530.0000000000,60.0000000000,-100.0000000000
31782,4907.3529896106,5088.4111501221,530.0000000000,80.0000000000,-100.0000000000
31783,4909.0961044656,5108.3350440839,530.0000000000,100.0000000000,-100.0000000000
31784,4910.8392193205,5128.2589380458,530.0000000000,120.0000000000,-100.0000000000
31785,4912.5823341755,5148.1828320076,530.0000000000,140.0000000000,-100.0000000000
31786,4914.3254490305,5168.1067259694,530.0000000000,160.0000000000,-99.9999999999
31787,4916.0685638854,5188.0306199313,530.0000000000,180.0000000000,-100.0000000000
31788,4917.8116787404,5207.9545138931,530.0000000000,200.0000000000,-100.0000000000
31789,4919.5547935953,5227.8784078549,530.0000000000,219.9999999999,-100.0000000000
31790,4921.2979084503,5247.8023018168,530.0000000000,240.0000000000,-100.0000000000
31791,4923.0410233052,5267.7261957786,530.0000000000,260.0000000000,-100.0000000000
31792,4924.7841381602,5287.6500897405,530.0000000000,280.0000000000,-100.0000000000
31821,4895.9008161833,4728.0379439541,530.0000000000,-280.0000000000,-80.0000000000
31822,4897.6439310383,4747.9618379160,530.0000000000,-260.0000000000,-80.0000000000
31823,4899.3870458932,4767.8857318778,530.0000000000,-240.0000000000,-80.0000000000
31824,4901.1301607482,4787.8096258396,530.0000000000,-220.0000000000,-80.0000000000
31825,4902.8732756031,4807.7335198015,530.0000000000,-200.0000000000,-80.0000000000
31826,4904.6163904581,4827.6574137633,530.0000000000,-180.0000000000,-80.0000000000
31827,4906.3595053130,4847.5813077251,530.0000000000,-160.0000000000,-80.0000000000
31828,4908.1026201680,4867.5052016870,530.0000000000,-140.0000000000,-80.0000000000
31829,4909.8457350229,4887.4290956488,530.0000000000,-120.0000000000,-80.0000000000
31830,4911.5888498779,4907.3529896106,530.0000000000,-100.0000000000,-80.0000000000
31831,4913.3319647328,4927.2768835725,530.0000000000,-80.0000000000,-80.0000000001
31832,4915.0750795878,4947.2007775343,530.0000000000,-60.0000000000,-80.0000000000
31833,4916.8181944428,4967.1246714961,530.0000000000,-40.0000000000,-80.0000000000
