shell_index,radius_m,axial_spacing_m,circumferential_points,endpoint_padding_m
0,0.90000000,0.60000000,8,0.80000000
1,1.15000000,0.75000000,8,1.00000000
2,1.45000000,0.90000000,8,1.20000000
3,1.85000000,1.10000000,8,1.50000000
4,2.35000000,1.35000000,10,1.80000000
5,3.00000000,1.70000000,10,2.20000000
6,3.80000000,2.20000000,10,2.70000000
7,4.80000000,2.80000000,12,3.30000000
8,6.00000000,3.50000000,12,4.00000000
9,7.60000000,4.40000000,12,5.00000000
10,9.50000000,5.40000000,12,6.00000000
11,12.00000000,6.80000000,12,7.50000000
12,15.00000000,8.50000000,12,9.00000000
13,19.00000000,10.50000000,12,11.00000000
14,24.00000000,13.00000000,12,13.50000000
15,30.00000000,16.00000000,12,16.00000000
